Player,Week,Tgt,Rec,RecYds,Snap,RecTD,Player,Week,Tgt,Rec,RecYds,Snap,RecTD,Player,Week,Tgt,Rec,RecYds,Snap,RecTD,Pred Targets,Pred Receptions,Pred Receiving Yards,Pred Snap%,Pred Tds
Stefon Diggs,4,6,4,62,95,0,Stefon Diggs,5,11,8,102,77,1,Stefon Diggs,6,13,10,148,88,1,7.0,4.0,63.0,84.0,0.0
Gabriel Davis,4,3,1,13,98,0,Gabriel Davis,5,6,3,171,84,2,Gabriel Davis,6,6,3,74,93,1,4.0,2.0,39.0,90.0,0.0
Jamison Crowder,1,4,3,28,31,0,Jamison Crowder,2,2,1,16,28,0,Jamison Crowder,3,3,1,9,49,0,2.0,2.0,21.0,40.0,0.0
Isaiah McKenzie,3,9,7,76,51,1,Isaiah McKenzie,4,6,4,21,48,1,Isaiah McKenzie,6,5,2,9,51,0,6.0,3.0,38.0,59.0,-0.0
Cooper Kupp,4,19,14,122,100,0,Cooper Kupp,5,10,7,125,98,1,Cooper Kupp,6,8,7,80,97,0,10.0,6.0,64.0,102.0,0.0
Ben Skowronek,4,3,2,33,88,0,Ben Skowronek,5,8,6,41,88,0,Ben Skowronek,6,5,5,40,68,0,8.0,5.0,65.0,84.0,0.0
Allen Robinson,4,6,2,7,99,0,Allen Robinson,5,5,3,12,83,0,Allen Robinson,6,6,5,63,86,1,7.0,4.0,58.0,85.0,0.0
Jarvis Landry,2,5,4,25,68,0,Jarvis Landry,3,5,2,22,30,0,Jarvis Landry,4,2,2,7,63,0,4.0,2.0,34.0,53.0,0.0
Michael Thomas,1,8,5,57,61,2,Michael Thomas,2,9,6,65,76,1,Michael Thomas,3,5,5,49,68,0,7.0,4.0,52.0,77.0,0.0
Chris Olave,4,7,4,67,68,1,Chris Olave,5,6,4,54,40,1,Chris Olave,7,14,7,106,76,0,5.0,2.0,36.0,60.0,-0.0
Drake London,5,7,4,35,67,0,Drake London,6,4,3,40,67,0,Drake London,7,1,1,9,85,0,6.0,4.0,44.0,70.0,0.0
Olamide Zaccheaus,5,4,2,39,67,1,Olamide Zaccheaus,6,4,4,58,74,0,Olamide Zaccheaus,7,4,3,31,62,0,6.0,3.0,46.0,75.0,0.0
KhaDarel Hodge,1,3,3,38,27,0,KhaDarel Hodge,4,1,0,0,33,0,KhaDarel Hodge,5,5,3,33,30,0,2.0,2.0,20.0,41.0,0.0
Donovan Peoples-Jones,5,7,4,50,88,0,Donovan Peoples-Jones,6,5,4,74,87,0,Donovan Peoples-Jones,7,6,6,71,93,0,7.0,4.0,54.0,87.0,0.0
Amari Cooper,5,12,7,76,90,1,Amari Cooper,6,12,4,44,76,1,Amari Cooper,7,4,3,74,95,0,8.0,5.0,61.0,83.0,0.0
D.J. Moore,5,8,4,59,93,0,D.J. Moore,6,7,3,7,100,0,D.J. Moore,7,10,7,69,100,1,8.0,5.0,66.0,92.0,0.0
Chosen Anderson,3,4,1,14,84,0,Chosen Anderson,4,5,3,26,96,0,Chosen Anderson,5,5,1,32,77,0,7.0,4.0,59.0,86.0,0.0
Shi Smith,4,2,0,0,75,0,Shi Smith,5,5,4,69,62,0,Shi Smith,6,2,0,0,55,0,5.0,3.0,45.0,69.0,0.0
Deebo Samuel,5,9,2,20,79,1,Deebo Samuel,6,10,7,79,83,0,Deebo Samuel,7,7,5,42,86,0,8.0,5.0,65.0,81.0,0.0
Brandon Aiyuk,5,4,3,58,87,0,Brandon Aiyuk,6,11,8,83,92,2,Brandon Aiyuk,7,11,7,82,94,0,8.0,4.0,64.0,87.0,0.0
Jauan Jennings,4,4,2,22,36,0,Jauan Jennings,6,3,2,18,32,0,Jauan Jennings,7,4,2,24,41,0,3.0,2.0,27.0,43.0,0.0
Ray-Ray McCloud,2,2,1,16,24,0,Ray-Ray McCloud,6,1,0,0,33,0,Ray-Ray McCloud,7,4,4,65,25,1,2.0,2.0,20.0,39.0,0.0
Dante Pettis,5,2,0,0,60,0,Dante Pettis,6,7,4,84,61,1,Dante Pettis,7,1,1,2,31,0,4.0,2.0,40.0,64.0,0.0
Equanimeous St. Brown,5,2,2,24,62,0,Equanimeous St. Brown,6,0,0,0,64,0,Equanimeous St. Brown,7,7,4,48,59,0,4.0,3.0,33.0,66.0,0.0
Darnell Mooney,5,5,2,52,94,0,Darnell Mooney,6,12,7,68,92,0,Darnell Mooney,7,6,3,53,80,0,8.0,5.0,74.0,88.0,0.0
Chase Claypool,5,9,5,50,91,0,Chase Claypool,6,7,7,96,86,1,Chase Claypool,7,8,5,41,85,0,8.0,4.0,57.0,88.0,0.0
Diontae Johnson,5,13,5,60,93,0,Diontae Johnson,6,7,5,28,95,0,Diontae Johnson,7,10,5,42,93,0,9.0,5.0,67.0,90.0,0.0
George Pickens,5,8,6,83,76,0,George Pickens,6,6,3,27,83,0,George Pickens,7,6,6,61,79,1,7.0,5.0,55.0,81.0,0.0
Ja'Marr Chase,5,12,7,50,100,0,Ja'Marr Chase,6,10,7,132,98,2,Ja'Marr Chase,7,11,8,130,93,2,8.0,4.0,60.0,98.0,0.0
Tyler Boyd,5,4,3,32,97,0,Tyler Boyd,6,6,6,66,96,0,Tyler Boyd,7,9,8,155,75,1,8.0,5.0,63.0,93.0,0.0
Tee Higgins,4,9,7,124,77,1,Tee Higgins,6,9,6,47,86,0,Tee Higgins,7,7,5,93,84,0,8.0,5.0,64.0,85.0,0.0
