Player,PID,Pos,Week,Tm,Cmp,Att,PassYds,PassTD,Int,Sacked,YardsLostSack,PassLng,Rate,Att,RushYards,RushTD,RushLng,Tgt,Rec,RecYds,RecTD,RecLng,Fmb,FL,Snap,Snap%,PprFP
Lamar Jackson,JackLa00,QB,8,BAL,27,38,238,2,0,3,16,22,104.9,9,43,0,25,0,0,0,0,0,0,0,76,100%,
Gus Edwards,EdwaGu00,RB,8,BAL,0,0,0,0,0,0,0,0,,11,65,0,22,0,0,0,0,0,0,0,16,21%,
Kenyan Drake,DrakKe00,RB,8,BAL,0,0,0,0,0,0,0,0,,7,62,0,40,4,4,5,1,5,0,0,44,58%,
Devin Duvernay,DuveDe00,WR,8,BAL,0,0,0,0,0,0,0,0,,2,33,1,18,4,4,31,0,13,0,0,50,66%,
Justice Hill,HillJu00,RB,8,BAL,0,0,0,0,0,0,0,0,,4,28,0,12,0,0,0,0,0,0,0,16,21%,
Isaiah Likely,LikeIs00,TE,8,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,77,1,17,0,0,51,67%,
Demarcus Robinson,RobiDe01,WR,8,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,64,0,16,0,0,48,63%,
Mark Andrews,AndrMa00,TE,8,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,33,0,22,0,0,10,13%,
James Proche,ProcJa00,WR,8,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,24,0,12,0,0,48,63%,
Josh Oliver,OlivJo00,TE,8,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0,38,50%,
Rashod Bateman,BateRa00,WR,8,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,13,17%,
Tom Brady,BradTo00,QB,8,TAM,26,44,325,1,0,3,20,51,89.7,1,1,0,1,0,0,0,0,0,0,0,68,100%,
Leonard Fournette,FourLe00,RB,8,TAM,0,0,0,0,0,0,0,0,,9,24,1,9,3,3,34,0,15,0,0,49,72%,
Rachaad White,WhitRa01,RB,8,TAM,0,0,0,0,0,0,0,0,,4,19,0,8,3,3,24,0,20,0,0,18,26%,
Mike Evans,EvanMi00,WR,8,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,123,0,51,0,0,64,94%,
Chris Godwin,GodwCh00,WR,8,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,75,0,44,0,0,61,90%,
Julio Jones,JoneJu02,WR,8,TAM,0,0,0,0,0,0,0,0,,1,0,0,0,4,2,21,1,13,0,0,39,57%,
Cade Otton,OttoCa00,TE,8,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,15,0,10,0,0,62,91%,
Scott Miller,MillSc01,WR,8,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,13,0,7,0,0,20,29%,
