Player,PID,Pos,Week,Tm,Opp,Cmp,PassAtt,PassYds,PassTD,Int,Sacked,YardsLostSack,PassLng,Rate,RushAtt,RushYards,RushTD,RushLng,Tgt,Rec,RecYds,RecTD,RecLng,Fmb,FL,Snap,Snap%
Bryce Perkins,PerkBr02,QB,3,LAR,KAN,13,23,100,1,2,3,24,16,45.6,9,44,0,13,0,0,0,0,0,0,0,54,100%
Cam Akers,AkerCa00,RB,3,LAR,KAN,0,0,0,0,0,0,0,0,,8,37,0,15,0,0,0,0,0,0,0,16,30%
Kyren Williams,WillKy02,RB,3,LAR,KAN,0,0,0,0,0,0,0,0,,11,35,0,9,3,3,25,0,15,0,0,38,70%
Van Jefferson,JeffVa00,WR,3,LAR,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,29,1,16,0,0,47,87%
Tutu Atwell,AtweTu00,WR,3,LAR,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,23,0,15,0,0,28,52%
Brycen Hopkins,HopkBr01,TE,3,LAR,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,0,12,0,0,22,41%
Jacob Harris,HarrJa03,WR,3,LAR,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0,0,0%
Brandon Powell,PoweBr00,WR,3,LAR,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,6,0,5,0,0,26,48%
Ben Skowronek,SkowBe00,WR,3,LAR,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,5,0,5,0,0,34,63%
Lance McCutcheon,McCuLa01,WR,3,LAR,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,0,26,48%
Patrick Mahomes,MahoPa00,QB,3,KAN,LAR,27,42,320,1,1,0,0,39,85.4,4,36,0,13,0,0,0,0,0,0,0,76,100%
Isiah Pacheco,PachIs00,RB,3,KAN,LAR,0,0,0,0,0,0,0,0,,22,69,1,9,1,1,17,0,17,0,0,39,51%
Ronald Jones II,JoneRo01,RB,3,KAN,LAR,0,0,0,0,0,0,0,0,,4,12,0,5,1,1,22,0,22,0,0,11,14%
Travis Kelce,KelcTr00,TE,3,KAN,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,57,1,39,0,0,63,83%
Marquez Valdes-Scantling,ValdMa00,WR,3,KAN,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,56,0,23,0,0,44,58%
JuJu Smith-Schuster,SmitJu00,WR,3,KAN,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,38,0,15,0,0,29,38%
Skyy Moore,MoorSk01,WR,3,KAN,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,36,0,18,1,1,35,46%
Jerick McKinnon,McKiJe00,RB,3,KAN,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,26,0,11,0,0,26,34%
Justin Watson,WatsJu01,WR,3,KAN,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,26,0,14,0,0,64,84%
Jody Fortson,FortJo01,TE,3,KAN,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,26,0,21,0,0,17,22%
Noah Gray,GrayNo00,TE,3,KAN,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,16,0,9,0,0,50,66%
